rank,brand,model,option_name,function,sales_point,data_status
36,현대,포터 II 일렉트릭,후방 카메라/주차 보조,적재 차량 후진과 주차 안전을 보조하는 기능,업무용 운행에서 사고 예방 포인트로 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
37,기아,레이 EV,내비게이션/커넥티비티,길안내와 차량 연결성을 높이는 편의 기능,단기렌트/대차 고객에게 사용 편의성 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
37,기아,레이 EV,운전자 보조 기능,"차로 유지, 충돌방지 등 기본 안전 보조 기능",가성비 차량에서도 안전 포인트를 강조 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
37,기아,레이 EV,주차 보조/후방 모니터,도심 주차와 좁은 골목 운행을 보조하는 기능,초보/도심 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
38,기아,EV6,V2L/전기 편의 기능,차량 전력을 외부 기기에 활용하는 기능,레저/업무 활용도가 필요한 고객에게 포인트가 됨,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
38,기아,EV6,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",전기차 장거리 운행 고객에게 안전 편의 옵션으로 제안,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
38,기아,EV6,충전/배터리 편의 기능,"충전 상태 확인, 회생제동, 전비 관리 등 EV 운행 편의 기능",전기차 전환 고객에게 운영 편의성 중심으로 설명,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
39,현대,베뉴,내비게이션/커넥티비티,길안내와 차량 연결성을 높이는 편의 기능,단기렌트/대차 고객에게 사용 편의성 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
39,현대,베뉴,운전자 보조 기능,"차로 유지, 충돌방지 등 기본 안전 보조 기능",가성비 차량에서도 안전 포인트를 강조 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
39,현대,베뉴,주차 보조/후방 모니터,도심 주차와 좁은 골목 운행을 보조하는 기능,초보/도심 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
40,현대,아이오닉 6,V2L/전기 편의 기능,차량 전력을 외부 기기에 활용하는 기능,레저/업무 활용도가 필요한 고객에게 포인트가 됨,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
40,현대,아이오닉 6,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",전기차 장거리 운행 고객에게 안전 편의 옵션으로 제안,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
40,현대,아이오닉 6,충전/배터리 편의 기능,"충전 상태 확인, 회생제동, 전비 관리 등 EV 운행 편의 기능",전기차 전환 고객에게 운영 편의성 중심으로 설명,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
41,기아,셀토스,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
41,기아,셀토스,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
41,기아,셀토스,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
42,KGM,무쏘 EV,안전 보조 기능,"충돌방지, 차로 이탈 경고 등 운행 안전 보조 기능",업무차량 사고 리스크 감소 관점에서 설명,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
42,KGM,무쏘 EV,적재/업무 편의 사양,화물 적재와 업무 동선을 편하게 해주는 사양,소상공인/물류 고객에게 실사용 편익 중심으로 제안,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
42,KGM,무쏘 EV,후방 카메라/주차 보조,적재 차량 후진과 주차 안전을 보조하는 기능,업무용 운행에서 사고 예방 포인트로 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
43,현대,캐스퍼 일렉트릭,내비게이션/커넥티비티,길안내와 차량 연결성을 높이는 편의 기능,단기렌트/대차 고객에게 사용 편의성 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
43,현대,캐스퍼 일렉트릭,운전자 보조 기능,"차로 유지, 충돌방지 등 기본 안전 보조 기능",가성비 차량에서도 안전 포인트를 강조 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
43,현대,캐스퍼 일렉트릭,주차 보조/후방 모니터,도심 주차와 좁은 골목 운행을 보조하는 기능,초보/도심 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
44,벤츠,GLC-Class,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
44,벤츠,GLC-Class,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
44,벤츠,GLC-Class,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
45,BMW,X3,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
45,BMW,X3,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
45,BMW,X3,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
46,쉐보레,트랙스 크로스오버,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
46,쉐보레,트랙스 크로스오버,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
46,쉐보레,트랙스 크로스오버,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
47,기아,니로,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
47,기아,니로,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
47,기아,니로,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
48,BYD,SEALION 7,V2L/전기 편의 기능,차량 전력을 외부 기기에 활용하는 기능,레저/업무 활용도가 필요한 고객에게 포인트가 됨,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
48,BYD,SEALION 7,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",전기차 장거리 운행 고객에게 안전 편의 옵션으로 제안,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
48,BYD,SEALION 7,충전/배터리 편의 기능,"충전 상태 확인, 회생제동, 전비 관리 등 EV 운행 편의 기능",전기차 전환 고객에게 운영 편의성 중심으로 설명,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
49,기아,니로 EV,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
49,기아,니로 EV,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
49,기아,니로 EV,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
50,현대,캐스퍼,내비게이션/커넥티비티,길안내와 차량 연결성을 높이는 편의 기능,단기렌트/대차 고객에게 사용 편의성 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
50,현대,캐스퍼,운전자 보조 기능,"차로 유지, 충돌방지 등 기본 안전 보조 기능",가성비 차량에서도 안전 포인트를 강조 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
50,현대,캐스퍼,주차 보조/후방 모니터,도심 주차와 좁은 골목 운행을 보조하는 기능,초보/도심 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
